country,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Cook Is,Colombia,Comoros,Cape Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,South Korea,Kuwait,Lao,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,North Korea,Portugal,Paraguay,Palestine,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syria,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Venezuela,Vietnam,Vanuatu,Samoa,Yemen,South Africa,Zambia,Zimbabwe
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1k,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,,47,,,2170,,,,,,,,,29k,,,,,,,14.1k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1k,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,197k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5k,,,,,,,,,,,,,,,,,,,,,,,887,,,,,186k,,,,,47,,,2210,1150,,,,,,,,26.3k,,,,,,,13.9k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9k,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,199k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8k,,,,,,,,,,,,,,,,,,,,,,,890,,,,,191k,,,,,47,,,2240,1180,,,19.6k,,,,,24.2k,,,,,,,14k,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152k,1680,24.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60k,,,,,1210,,,,,,,,,,,17.4k,,,,,,,
1954,,,,,,,,,,3010,,,,,,205k,,,,,,,,,,,,,,,1470,,,,17.5k,,,,,,,,,,,,,,,11.1k,,,,,,,,,,,,,,,,,,,,,,,882,,,,,196k,,,,,48,,,2270,1250,,,19.5k,,,,,22.5k,,,,,,,14.3k,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155k,1710,24.2k,32.3k,,,,,,,,,,,,,,8670,,,,,,,,,,,,,,,,5670,,,60.4k,,,,,1230,,82.6k,,,,,,,,,17.6k,,,,,,,
1955,,,,,,,,,,3100,,,,,,211k,,,,,,,,,,,,,,,1470,,,,17.2k,,,,,,,,,,,,,,,11.2k,,11.9k,,,,,,,,,,,,,15.3k,,,,,,,,867,,,,,199k,,,,,50,,,2310,1340,,,19.2k,,,,,21k,,,,,,,14.8k,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2k,,,,159k,1730,24.2k,31.5k,,,,,5140,4180,,,,,,,,8700,,,,,,,,,,,,,,,,5530,,,61.5k,,,,,1230,,80.8k,,,,,,,,,17.7k,,,,,,,
1956,,,,,,,,,,3190,,,,,,219k,,,,,,,,,,,,,,,1500,,,13.8k,17k,,,,,,,,,,,,,,,11.2k,,11.6k,70.6k,,,,,,,,,,,,16.3k,,,,,,,,846,,,,,203k,,,,,51,,,2320,1440,,,18.9k,,,,,20k,,,,,,,15.3k,2120,,,,38k,,,,,,,,,,,,,,,,,,,,,,,,,42.7k,,,,164k,1750,24.1k,30.5k,,,,,5180,4170,,,,,,,,8730,,,,,,,,,,,,,,,,5360,,,62.6k,,,,,1220,,78.6k,,,,,,,,,17.9k,,,,,,,
1957,,,,,,,,,,3250,,,,6290,,227k,,,,,,,,,,,,,,,1520,,,14.3k,16.8k,,,,,,,,,,,,,,,11.1k,,11.2k,74.6k,,,,,,,,,,,,17.4k,,,,,,,,822,,,,,206k,,,,,53,,,2310,1550,,,18.8k,,,,,19.2k,,,,,,,15.8k,2170,,,,37.4k,,,,,,,,,,,,,,2390,,,,,,,,,,,41k,,,,169k,1770,24k,29.7k,,,,,5210,4150,,,,,,,,8750,,,,,,,,,,,,,,,,5140,,,64k,,,,,1200,,76.1k,,,,,,,,,18.1k,,,,,,,
1958,,,,,,,,,,3280,,,,6370,,235k,,,,,,,,,,,,,,,1560,,,14.9k,16.7k,,,,,,,,,,,,,,,11k,,11k,77.5k,,,,,,,,,,,,18.3k,,,,,,,,807,,,13.9k,,208k,,,,,54,,,2300,1650,,,18.6k,,,,,18.8k,,,,,,,16.1k,2220,,,,36.8k,,,,,,,,,,,,,,2450,,,,,,,,,,,39.6k,,,,173k,1790,24.1k,28.9k,,,,,5230,4140,,,,,,,,8860,,,,,,,,,,,,,,,,4990,,,65.3k,,,,,1180,,73.6k,,,,,,,,,18.3k,,,,,,,
1959,,,,,,,,,,3240,,,3340,6460,,241k,,,,,,,,,,,,,,,1610,,,15.3k,16.7k,,,,,,,,,,,,,,1300,10.7k,,10.9k,79.4k,,21.1k,,,1410,,15.8k,,,15.7k,,19.2k,,,,,4960,,,805,,,13.8k,4620,209k,,1270,,,55,,22.3k,2300,1720,,,18.4k,,,,,18.5k,,,,,,,16.1k,2270,,,,36.8k,,,,,,,,,,,,,,2510,,,,,,,,,3520,810,38.9k,,,,176k,1820,24.2k,28.7k,,,,,5350,4160,,,,,8960,,,8990,,,,,,,,,,,,,1500,,,4900,,,66.7k,,,,,1160,,72k,,,,,,,,,18.6k,,,,,,,
