country,2007
Afghanistan,16.1k
Angola,9480
Albania,23
United Arab Emirates,21
Argentina,492
Armenia,100
Australia,104
Austria,26
Azerbaijan,606
Burundi,3340
Belgium,35
Benin,2460
Burkina Faso,5850
Bangladesh,32.2k
Bulgaria,56
Bahrain,9
Bahamas,7
Bosnia and Herzegovina,38
Belarus,60
Belize,12
Bolivia,1780
Brazil,4570
Barbados,4
Brunei,3
Bhutan,128
Botswana,142
Central African Republic,1850
Canada,209
Switzerland,26
Chile,86
China,59.6k
Cote d'Ivoire,6940
Cameroon,5750
"Congo, Dem. Rep.",35.9k
"Congo, Rep.",995
Colombia,1240
Comoros,214
Cape Verde,39
Costa Rica,67
Cuba,42
Cyprus,1
Czech Republic,42
Germany,150
Djibouti,201
Denmark,21
Dominican Republic,784
Algeria,3810
Ecuador,456
Egypt,2220
Eritrea,681
Spain,107
Estonia,7
Ethiopia,36.1k
Finland,11
Fiji,23
France,288
"Micronesia, Fed. Sts.",8
Gabon,248
United Kingdom,258
Georgia,200
Ghana,6180
Guinea,4390
Gambia,484
Guinea-Bissau,740
Equatorial Guinea,255
Greece,15
Grenada,4
Guatemala,612
Guyana,70
Honduras,665
Croatia,16
Haiti,1900
Hungary,24
Indonesia,17.4k
India,189k
Ireland,12
Iran,3810
Iraq,4910
Iceland,1
Israel,34
Italy,131
Jamaica,67
Jordan,164
Japan,130
Kazakhstan,0
Kenya,14.5k
Kyrgyz Republic,541
Cambodia,3220
South Korea,91
Kuwait,13
Lao,1080
Lebanon,44
Liberia,1650
Libya,119
St. Lucia,8
Sri Lanka,448
Lesotho,596
Lithuania,14
Luxembourg,1
Latvia,44
Morocco,3420
Moldova,51
Madagascar,6310
Maldives,17
Mexico,2050
North Macedonia,20
Mali,6800
Malta,2
Myanmar,13.1k
Montenegro,6
Mongolia,103
Mozambique,9360
Mauritania,1160
Mauritius,35
Malawi,4530
Malaysia,248
Namibia,202
Niger,6790
Nigeria,85k
Nicaragua,268
Netherlands,93
Norway,26
Nepal,6560
New Zealand,35
Oman,36
Pakistan,67.3k
Panama,82
Peru,1160
Philippines,4750
Papua New Guinea,1590
Poland,144
North Korea,2120
Portugal,30
Paraguay,498
Qatar,4
Romania,96
Russia,1070
Rwanda,4240
Saudi Arabia,602
Sudan,9530
Senegal,3750
Singapore,1
Solomon Islands,34
Sierra Leone,2450
El Salvador,142
Somalia,6380
Serbia,90
Sao Tome and Principe,40
Suriname,22
Slovak Republic,14
Slovenia,4
Sweden,29
Eswatini,129
Syria,394
Chad,6310
Togo,1710
Thailand,1480
Tajikistan,1100
Turkmenistan,535
Tonga,4
Trinidad and Tobago,45
Tunisia,172
Turkey,2970
Tanzania,17k
Uganda,12.7k
Ukraine,416
Uruguay,28
United States,1360
Uzbekistan,2130
St. Vincent and the Grenadines,2
Venezuela,897
Vietnam,1990
Vanuatu,16
Samoa,8
Yemen,6600
South Africa,4930
Zambia,5440
Zimbabwe,2910
