country,2007
Afghanistan,5070
Angola,2580
Albania,47
United Arab Emirates,95
Argentina,1520
Armenia,129
Australia,210
Austria,65
Azerbaijan,385
Burundi,731
Belgium,107
Benin,1030
Burkina Faso,1710
Bangladesh,5940
Bulgaria,72
Bahrain,34
Bahamas,4
Bosnia and Herzegovina,69
Belarus,206
Belize,11
Bolivia,569
Brazil,6430
Barbados,2
Brunei,9
Bhutan,40
Botswana,96
Central African Republic,537
Canada,285
Switzerland,53
Chile,408
China,15.3k
Cote d'Ivoire,2110
Cameroon,1930
"Congo, Dem. Rep.",13.2k
"Congo, Rep.",436
Colombia,2500
Comoros,56
Cape Verde,24
Costa Rica,144
Cuba,83
Cyprus,7
Czech Republic,56
Germany,425
Djibouti,142
Denmark,47
Dominican Republic,515
Algeria,1990
Ecuador,612
Egypt,6200
Eritrea,294
Spain,275
Estonia,16
Ethiopia,5810
Finland,39
Fiji,30
France,478
"Micronesia, Fed. Sts.",5
Gabon,114
United Kingdom,647
Georgia,142
Ghana,1770
Guinea,985
Gambia,150
Guinea-Bissau,177
Equatorial Guinea,103
Greece,42
Grenada,5
Guatemala,482
Guyana,31
Honduras,393
Croatia,48
Haiti,402
Hungary,84
Indonesia,8410
India,34.3k
Ireland,104
Iran,5180
Iraq,3030
Iceland,1
Israel,114
Italy,349
Jamaica,92
Jordan,451
Japan,538
Kazakhstan,863
Kenya,3700
Kyrgyz Republic,272
Cambodia,651
South Korea,207
Kuwait,142
Lao,325
Lebanon,142
Liberia,400
Libya,362
St. Lucia,3
Sri Lanka,746
Lesotho,177
Lithuania,30
Luxembourg,0
Latvia,30
Morocco,2060
Moldova,131
Madagascar,1450
Maldives,10
Mexico,3360
North Macedonia,34
Mali,1820
Malta,3
Myanmar,2410
Montenegro,11
Mongolia,117
Mozambique,2620
Mauritania,329
Mauritius,29
Malawi,1390
Malaysia,454
Namibia,120
Niger,1280
Nigeria,19.4k
Nicaragua,323
Netherlands,144
Norway,28
Nepal,1260
New Zealand,64
Oman,125
Pakistan,27.7k
Panama,203
Peru,1420
Philippines,4470
Papua New Guinea,412
Poland,495
North Korea,1010
Portugal,53
Paraguay,293
Qatar,18
Romania,347
Russia,2150
Rwanda,923
Saudi Arabia,1610
Sudan,4350
Senegal,1270
Singapore,17
Solomon Islands,30
Sierra Leone,470
El Salvador,224
Somalia,1890
Serbia,97
Sao Tome and Principe,17
Suriname,15
Slovak Republic,55
Slovenia,7
Sweden,63
Eswatini,73
Syria,1280
Chad,1120
Togo,588
Thailand,2230
Tajikistan,375
Turkmenistan,292
Tonga,5
Trinidad and Tobago,121
Tunisia,529
Turkey,3840
Tanzania,4730
Uganda,3300
Ukraine,1130
Uruguay,107
United States,4360
Uzbekistan,1400
St. Vincent and the Grenadines,1
Venezuela,918
Vietnam,2910
Vanuatu,14
Samoa,7
Yemen,2440
South Africa,1680
Zambia,1460
Zimbabwe,1080
