country,2007
Afghanistan,13k
Angola,7630
Albania,4
United Arab Emirates,5
Argentina,593
Armenia,22
Australia,20
Austria,1
Azerbaijan,281
Burundi,2730
Belgium,13
Benin,964
Burkina Faso,3110
Bangladesh,29.5k
Bulgaria,16
Bahrain,2
Bahamas,7
Bosnia and Herzegovina,6
Belarus,25
Belize,5
Bolivia,1170
Brazil,4380
Barbados,2
Brunei,1
Bhutan,87
Botswana,59
Central African Republic,1110
Canada,41
Switzerland,10
Chile,63
China,5870
Cote d'Ivoire,4590
Cameroon,3510
"Congo, Dem. Rep.",23.5k
"Congo, Rep.",581
Colombia,1250
Comoros,129
Cape Verde,16
Costa Rica,43
Cuba,65
Cyprus,0
Czech Republic,10
Germany,47
Djibouti,141
Denmark,0
Dominican Republic,322
Algeria,1710
Ecuador,116
Egypt,597
Eritrea,413
Spain,90
Estonia,4
Ethiopia,28.7k
Finland,6
Fiji,4
France,84
"Micronesia, Fed. Sts.",3
Gabon,128
United Kingdom,39
Georgia,89
Ghana,4920
Guinea,3430
Gambia,291
Guinea-Bissau,617
Equatorial Guinea,153
Greece,0
Grenada,1
Guatemala,145
Guyana,54
Honduras,325
Croatia,11
Haiti,1130
Hungary,4
Indonesia,8630
India,121k
Ireland,5
Iran,1760
Iraq,1950
Iceland,1
Israel,10
Italy,62
Jamaica,15
Jordan,48
Japan,65
Kazakhstan,0
Kenya,11.5k
Kyrgyz Republic,186
Cambodia,2440
South Korea,85
Kuwait,9
Lao,563
Lebanon,9
Liberia,1240
Libya,27
St. Lucia,1
Sri Lanka,92
Lesotho,475
Lithuania,9
Luxembourg,0
Latvia,3
Morocco,1910
Moldova,46
Madagascar,4650
Maldives,8
Mexico,1770
North Macedonia,6
Mali,3940
Malta,0
Myanmar,10.8k
Montenegro,1
Mongolia,30
Mozambique,6180
Mauritania,789
Mauritius,15
Malawi,3320
Malaysia,39
Namibia,94
Niger,3060
Nigeria,62.2k
Nicaragua,62
Netherlands,53
Norway,6
Nepal,5300
New Zealand,12
Oman,8
Pakistan,56.3k
Panama,85
Peru,273
Philippines,1270
Papua New Guinea,869
Poland,108
North Korea,1280
Portugal,5
Paraguay,197
Qatar,1
Romania,11
Russia,448
Rwanda,3470
Saudi Arabia,161
Sudan,2510
Senegal,2400
Singapore,3
Solomon Islands,9
Sierra Leone,1560
El Salvador,26
Somalia,4140
Serbia,11
Sao Tome and Principe,26
Suriname,15
Slovak Republic,3
Slovenia,7
Sweden,11
Eswatini,73
Syria,90
Chad,2880
Togo,950
Thailand,330
Tajikistan,612
Turkmenistan,311
Tonga,1
Trinidad and Tobago,50
Tunisia,43
Turkey,552
Tanzania,13.1k
Uganda,9710
Ukraine,173
Uruguay,45
United States,911
Uzbekistan,956
St. Vincent and the Grenadines,3
Venezuela,869
Vietnam,366
Vanuatu,3
Samoa,2
Yemen,3000
South Africa,1720
Zambia,4490
Zimbabwe,1550
