country,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Cook Is,Colombia,Comoros,Cape Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,South Korea,Kuwait,Lao,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,North Korea,Portugal,Paraguay,Palestine,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syria,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Venezuela,Vietnam,Vanuatu,Samoa,Yemen,South Africa,Zambia,Zimbabwe
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1*1000,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,,47,,,2170,,,,,,,,,29*1000,,,,,,,14.1*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1*1000,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,197*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5*1000,,,,,,,,,,,,,,,,,,,,,,,887,,,,,186*1000,,,,,47,,,2210,1150,,,,,,,,26.3*1000,,,,,,,13.9*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9*1000,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,199*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8*1000,,,,,,,,,,,,,,,,,,,,,,,890,,,,,191*1000,,,,,47,,,2240,1180,,,19.6*1000,,,,,24.2*1000,,,,,,,14*1000,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152*1000,1680,24.2*1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60*1000,,,,,1210,,,,,,,,,,,17.4*1000,,,,,,,
1954,,,,,,,,,,3010,,,,,,205*1000,,,,,,,,,,,,,,,1470,,,,17.5*1000,,,,,,,,,,,,,,,11.1*1000,,,,,,,,,,,,,,,,,,,,,,,882,,,,,196*1000,,,,,48,,,2270,1250,,,19.5*1000,,,,,22.5*1000,,,,,,,14.3*1000,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155*1000,1710,24.2*1000,32.3*1000,,,,,,,,,,,,,,8670,,,,,,,,,,,,,,,,5670,,,60.4*1000,,,,,1230,,82.6*1000,,,,,,,,,17.6*1000,,,,,,,
1955,,,,,,,,,,3100,,,,,,211*1000,,,,,,,,,,,,,,,1470,,,,17.2*1000,,,,,,,,,,,,,,,11.2*1000,,11.9*1000,,,,,,,,,,,,,15.3*1000,,,,,,,,867,,,,,199*1000,,,,,50,,,2310,1340,,,19.2*1000,,,,,21*1000,,,,,,,14.8*1000,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2*1000,,,,159*1000,1730,24.2*1000,31.5*1000,,,,,5140,4180,,,,,,,,8700,,,,,,,,,,,,,,,,5530,,,61.5*1000,,,,,1230,,80.8*1000,,,,,,,,,17.7*1000,,,,,,,
1956,,,,,,,,,,3190,,,,,,219*1000,,,,,,,,,,,,,,,1500,,,13.8*1000,17*1000,,,,,,,,,,,,,,,11.2*1000,,11.6*1000,70.6*1000,,,,,,,,,,,,16.3*1000,,,,,,,,846,,,,,203*1000,,,,,51,,,2320,1440,,,18.9*1000,,,,,20*1000,,,,,,,15.3*1000,2120,,,,38*1000,,,,,,,,,,,,,,,,,,,,,,,,,42.7*1000,,,,164*1000,1750,24.1*1000,30.5*1000,,,,,5180,4170,,,,,,,,8730,,,,,,,,,,,,,,,,5360,,,62.6*1000,,,,,1220,,78.6*1000,,,,,,,,,17.9*1000,,,,,,,
1957,,,,,,,,,,3250,,,,6290,,227*1000,,,,,,,,,,,,,,,1520,,,14.3*1000,16.8*1000,,,,,,,,,,,,,,,11.1*1000,,11.2*1000,74.6*1000,,,,,,,,,,,,17.4*1000,,,,,,,,822,,,,,206*1000,,,,,53,,,2310,1550,,,18.8*1000,,,,,19.2*1000,,,,,,,15.8*1000,2170,,,,37.4*1000,,,,,,,,,,,,,,2390,,,,,,,,,,,41*1000,,,,169*1000,1770,24*1000,29.7*1000,,,,,5210,4150,,,,,,,,8750,,,,,,,,,,,,,,,,5140,,,64*1000,,,,,1200,,76.1*1000,,,,,,,,,18.1*1000,,,,,,,
1958,,,,,,,,,,3280,,,,6370,,235*1000,,,,,,,,,,,,,,,1560,,,14.9*1000,16.7*1000,,,,,,,,,,,,,,,11*1000,,11*1000,77.5*1000,,,,,,,,,,,,18.3*1000,,,,,,,,807,,,13.9*1000,,208*1000,,,,,54,,,2300,1650,,,18.6*1000,,,,,18.8*1000,,,,,,,16.1*1000,2220,,,,36.8*1000,,,,,,,,,,,,,,2450,,,,,,,,,,,39.6*1000,,,,173*1000,1790,24.1*1000,28.9*1000,,,,,5230,4140,,,,,,,,8860,,,,,,,,,,,,,,,,4990,,,65.3*1000,,,,,1180,,73.6*1000,,,,,,,,,18.3*1000,,,,,,,
1959,,,,,,,,,,3240,,,3340,6460,,241*1000,,,,,,,,,,,,,,,1610,,,15.3*1000,16.7*1000,,,,,,,,,,,,,,1300,10.7*1000,,10.9*1000,79.4*1000,,21.1*1000,,,1410,,15.8*1000,,,15.7*1000,,19.2*1000,,,,,4960,,,805,,,13.8*1000,4620,209*1000,,1270,,,55,,22.3*1000,2300,1720,,,18.4*1000,,,,,18.5*1000,,,,,,,16.1*1000,2270,,,,36.8*1000,,,,,,,,,,,,,,2510,,,,,,,,,3520,810,38.9*1000,,,,176*1000,1820,24.2*1000,28.7*1000,,,,,5350,4160,,,,,8960,,,8990,,,,,,,,,,,,,1500,,,4900,,,66.7*1000,,,,,1160,,72*1000,,,,,,,,,18.6*1000,,,,,,,
1960,,,,,,,,,,3130,,,3210,6560,,244*1000,,,,,,,,,,,,,,,1630,,,15.7*1000,16.9*1000,,,,,,,,,,,,,,1310,10.4*1000,,11*1000,79.1*1000,,20.8*1000,,,1380,,15.4*1000,,,16*1000,,19.8*1000,,,,,4870,,,835,,,14*1000,4150,209*1000,,1240,,,56,,22.4*1000,2280,1790,,,18.3*1000,,,,,18.8*1000,,,,,,,15.6*1000,2310,,,,37.5*1000,,,,,,,,,,,,,,2540,,,,,,,,,3490,812,38.8*1000,,,,175*1000,1830,24.5*1000,29.2*1000,,,,,5570,4200,,,,,8910,,,9140,,,,,,,,,,,,,1490,,,4940,,,67.6*1000,,,,,1160,,71.5*1000,,,,,,,,,19.1*1000,,,,,,,
1961,,,,,,,,,,3000,,,3010,6680,,245*1000,,,,,,,,,,,,,,,1630,,,16*1000,17.2*1000,,,,,,,,,,,,,,1290,10.1*1000,,11.2*1000,77.3*1000,,20.6*1000,,,1320,,15.1*1000,,,16*1000,,20.3*1000,,,,,4680,,,874,,,14.4*1000,3910,209*1000,,1210,,,55,,22.4*1000,2250,1850,,,18.3*1000,,,,,19.2*1000,,,,,,,15*1000,2350,,,,38.6*1000,,,,,,,,,,,,,,2590,,,,,,,,,3360,798,39.5*1000,,,,174*1000,1840,24.9*1000,30.1*1000,,,,,5730,4280,,,,,8790,,,9370,,,,5030,,,,,,,,,1450,,,5050,,,68.3*1000,,,,,1160,,71.7*1000,,,,,,,,,19.7*1000,,,,,,,
1962,,,,,,,,,,2890,,,2830,6820,,246*1000,,,,,,,,168*1000,,,,,,,1630,,,16.4*1000,17.6*1000,,,,27.1*1000,,,,,,,,,,1260,9780,,11.5*1000,75.1*1000,,20.1*1000,,,1230,,14.7*1000,,,15.4*1000,,20.6*1000,,,,,4400,,,912,,,14.8*1000,3830,208*1000,,1190,,,54,,22.4*1000,2200,1890,,,18.4*1000,,,,,19.6*1000,,,,5880,,,14.2*1000,2390,,,,39.8*1000,,,,,70.6*1000,,,,,,,,,2630,,,,,,,,,3170,770,40.6*1000,,,,172*1000,1860,25.2*1000,31.4*1000,,,,,5750,4340,,,,,8690,,,9630,,,,5160,,,,,,,,,1390,,,5260,,,68.6*1000,,,,,1150,,72.7*1000,,,,,,,,,20.3*1000,,,,22.1*1000,,,
1963,,,,,,,,,,2770,,7030,2680,6950,,247*1000,2900,,,,,,,171*1000,,,,,,,1600,,,16.8*1000,18.1*1000,,,,27.7*1000,,,,,,,,,,1210,9570,,11.8*1000,73*1000,,19.5*1000,,,1140,,14.3*1000,,,14.8*1000,,20.9*1000,,,,,4220,,12.1*1000,929,,,15.1*1000,3900,207*1000,,1170,,,52,,22.5*1000,2150,1960,,,18.6*1000,,,,,19.9*1000,,,,5970,,,13.4*1000,2430,,,,40.5*1000,,,,,73.9*1000,,,26.4*1000,,,,,,2690,,,,,,,,,3010,739,41.8*1000,,,,170*1000,1860,25.4*1000,32.7*1000,,,,,5610,4390,,,,,8670,,,9880,,,,5260,,,,,,,,,1310,,,5480,,,69*1000,,,,,1120,,73.6*1000,,,,,,,,,20.6*1000,,,,22.2*1000,,,
1964,,,,,,,,,,2660,,7270,2590,7060,,251*1000,2850,,,,,,,171*1000,,,,1060,,,1560,,,17.3*1000,18.5*1000,,,,27.9*1000,,,,,,,,,,1150,9410,,11.9*1000,72.1*1000,,18.9*1000,,,1040,,14*1000,,,14.2*1000,,21.2*1000,,,,,4170,,12.2*1000,921,,,15.3*1000,4080,208*1000,,1130,,,50,,22.5*1000,2080,2060,,,18.8*1000,,,,,20.1*1000,,,,6040,,,12.9*1000,2470,,83,,40.7*1000,,,,,77.6*1000,,,27*1000,,,,,,2740,,,,,,,,,2870,715,42.7*1000,,,,170*1000,1870,25.5*1000,33.6*1000,,,,,5430,4390,,,,,8780,,,10.1*1000,,,,5320,,,,,,,,,1250,,,5670,,4490,69.3*1000,,,,,1060,10.8*1000,74.2*1000,,,22.9*1000,,,,,,20.6*1000,,,,22.5*1000,,,6770
1965,,,,,,,,,,2560,,7490,2460,7160,,257*1000,2840,,,,,,12.6*1000,169*1000,,,,1060,,,1500,,,17.7*1000,18.8*1000,,,,27.9*1000,,,,,,,,,,1090,9220,,11.9*1000,72.4*1000,,18.6*1000,,,958,,13.4*1000,,,13.6*1000,,21.6*1000,,,,,4360,,12.3*1000,892,,,15.3*1000,4430,209*1000,,1050,,,48,,21.9*1000,2000,2110,,,19*1000,,,,,20.1*1000,,,,6040,,,12.7*1000,2490,,78,,40.2*1000,,,,,80.8*1000,,,27.2*1000,,,,,,2790,,,,,,,,,2730,706,42.9*1000,,,,171*1000,1860,25.3*1000,34.2*1000,,,,,5230,4350,,,,,8930,,,10.3*1000,,,,5350,,,,,,,,,1210,,,5810,,4590,69.6*1000,,,,,976,10.5*1000,74*1000,,,23.4*1000,,,,,,20.2*1000,,,,22.9*1000,,,6930
1966,,,,,,,,,,2460,,7630,2320,7260,,265*1000,2840,,,,,,12.4*1000,165*1000,,,,1060,,,1420,,,18.2*1000,18.8*1000,,,,27.9*1000,,,,,,,,,,1020,9010,,11.9*1000,73.5*1000,,18.3*1000,,,876,,12.6*1000,,,12.8*1000,,22*1000,,,,,4660,,12.2*1000,837,,,15.1*1000,4900,211*1000,,959,,,46,,20.7*1000,1920,2190,,,19.4*1000,,,,,19.9*1000,,,,6030,,,12.7*1000,2520,,73,,39.3*1000,,,,,83.7*1000,,,27.5*1000,,,,,,2840,,,,,,161*1000,,,2590,700,43.1*1000,,,,172*1000,1860,25*1000,34.6*1000,,,,,4950,4300,,,,,9230,,,10.5*1000,,,,5380,,,,,,,,,1180,,,5970,,4780,70*1000,,,,,866,10.1*1000,73.6*1000,,,23.7*1000,,,,,,19.6*1000,,,,23.6*1000,,,7050
1967,,,,,,,,,3160,2380,,7760,2160,7350,,274*1000,2810,,,,,166,12.1*1000,160*1000,165,,,1050,,,1300,9650,,18.8*1000,18.7*1000,,,,27.6*1000,,,1370,6480,,,,,,952,8790,,11.8*1000,75.1*1000,,17.9*1000,,,806,,11.8*1000,,,12*1000,,22.4*1000,,,,,4980,,12.2*1000,776,4960,,14.9*1000,5410,213*1000,,863,,,43,,19.6*1000,1820,2280,17.3*1000,,19.9*1000,,,,,19.5*1000,,,,6000,,,12.7*1000,2540,,67,,38*1000,,,,,86.2*1000,,,28*1000,,,,,,2890,,,,,,162*1000,4190,,2460,703,43.2*1000,,648,,173*1000,1840,24.6*1000,34.7*1000,,,,,4580,4240,,,,,9600,,,10.6*1000,711,,,5370,,,,,,,,,1150,,,6100,,4990,69.8*1000,,,,,759,9650,73.3*1000,,28.6*1000,23.9*1000,,,54.7*1000,,,18.8*1000,,,,24.2*1000,,,7190
1968,,,,,,,,,3200,2320,,7830,2010,7470,17.6*1000,281*1000,2750,,76,,,168,11.8*1000,154*1000,144,,,1040,,4670,1180,8760,,19.3*1000,18.6*1000,,,,27.1*1000,,,1330,5640,,,17.5*1000,,52,885,8620,45.5*1000,11.7*1000,76.8*1000,,17.1*1000,,,746,,10.9*1000,,,11.2*1000,,22.9*1000,,,,,5140,,12.1*1000,727,4970,,14.6*1000,5790,215*1000,1.76M,790,,20.6*1000,41,,18.8*1000,1730,2350,16.5*1000,,20.3*1000,,,,,18.9*1000,,,,5980,,,12.6*1000,2560,,62,,36.9*1000,,,9740,,88.5*1000,,,28.6*1000,,,,,,2950,642,16.5*1000,,930,13*1000,162*1000,4310,,2310,692,43.2*1000,,632,,176*1000,1830,24.1*1000,34.9*1000,,,10.3*1000,,4180,4170,,,10.1*1000,,10*1000,,20.4*1000,10.9*1000,666,,,5380,,,,,,,,,1120,,,6280,,5180,69*1000,,,,,675,9220,73*1000,,29.1*1000,24*1000,,,51.8*1000,,,17.9*1000,,,,24.5*1000,,7050,7330
1969,,,,,,13.3*1000,,,3210,2260,,7870,1880,7610,18.2*1000,285*1000,2700,,76,,,168,11.6*1000,151*1000,129,,,1040,,4270,1040,8390,,19.9*1000,18.4*1000,,,,26.3*1000,,,1290,4980,,,16*1000,,52,822,8500,45.5*1000,11.6*1000,77.9*1000,,16.1*1000,,,683,,10.1*1000,,,10.6*1000,,23.3*1000,,,,,5070,,12.1*1000,708,4960,,14.4*1000,6000,215*1000,1.76M,766,,20.3*1000,39,,18.4*1000,1650,2400,16*1000,,20.8*1000,,,,,17.9*1000,,,,5980,,,12.4*1000,2560,,57,,36*1000,,,10.1*1000,,90.6*1000,,,29.3*1000,74,,,,,3020,602,16.9*1000,,975,13.4*1000,164*1000,4420,,2180,674,43.4*1000,,627,,178*1000,1800,23.5*1000,35.1*1000,,,10.6*1000,,3860,4050,,,10.4*1000,,10.5*1000,,20.9*1000,11.2*1000,648,,,5410,,,,,,,,,1070,,,6420,,5330,67.2*1000,,,,,632,8910,73*1000,,29.5*1000,24.1*1000,,1250,49.4*1000,,,17.2*1000,,,,24.4*1000,,7220,7540
